Jonny Bairstow;4.4
Imran Tahir;0.0
Mitchell Starc;0.0
Chris Woakes;10.0
Glenn Maxwell;4.0
Eoin Morgan (C);0.0
Jos Buttler (W);20.4
Quinton de Kock;0.0
Jofra Archer;0.2
Lockie Ferguson;5.0
MS Dhoni (W);3.4
Tim Southee;5.0
Imam-ul-Haq;0.0
Angelo Mathews;0.0
Ben Stokes;4.0
Mashrafe Mortaza (c);0.0
Shoaib Malik;0.0
Shakib Al Hasan;0.0
Mustafizur Rahman;0.0
Hardik Pandya;11.0
Mohammad Saifuddin;0.0
Rohit Sharma;2.4
Andre russel;0.0
Kagiso Rabada;0.0
Trent Boult;22.0
David Warner;10.6
Jasprit Bumrah;15.0
Hasan Ali;0.0
Jason Holder (C);0.0
Kane Williamson (C);23.4
Babar Azam;0.0
Chris Morris;0.0
Ross Taylor;26.2
Joe Root;0.0
Rashid Khan;0.0
Tamim Iqbal;0.0
Bhuvneshwar Kumar;0.2
name;0.0
Jason Roy;6.4
Faf du Plessis (C);0.0
Steven Smith;53.2
Mujeeb Ur Rahman;0.0
Virat Kohli (C);3.6
